letter,count_all,count_uppercase,"percentage,%"
n,31,16,52.0
e,47,0,0.0
w,18,0,0.0
s,55,2,4.0
o,20,0,0.0
m,4,0,0.0
t,37,5,14.0
h,35,0,0.0
i,28,1,4.0
g,24,5,21.0
a,32,8,25.0
p,16,4,25.0
d,46,0,0.0
l,23,6,26.0
v,17,0,0.0
r,6,0,0.0
k,18,1,6.0
y,11,0,0.0
b,1,0,0.0
u,18,4,22.0
c,4,0,0.0
f,70,10,14.0
